Rank,Institute ID,Name,Score
1,IR-O-U-0575,Jadavpur University,76.08
2,IR-O-U-0439,Anna University,76.06
3,IR-O-U-0078,Panjab University,69.92
4,IR-O-U-0006,"Andhra University, Visakhapatnam",68.91
5,IR-O-U-0260,Kerala University,67.93
6,IR-O-U-0253,Cochin University of Science and Technology,66.24
7,IR-O-U-0027,Osmania University,65.64
8,IR-O-U-0196,University of Kashmir,65.17
9,IR-O-U-0052,Gauhati University,64.24
10,IR-O-U-0447,Bharathiar University,64.09
