Rank,Institute_ID,Name,Score,Category,State,Region
9.0,IR-M-I-1170,Management Development Institute,71.96,Management,Haryana,North
10.0,IR-M-S-132,XLRI - Xavier School of Management,70.63,Management,Jharkhand,East
1.0,IR-D-N-15,"All India Institute of Medical Sciences, Delhi",91.8,Medical,Delhi,North
2.0,IR-D-U-0079,Post Graduate Institute of Medical Education and Research,82.58,Medical,Chandigarh,North
3.0,IR-D-C-45654,Christian Medical College,76.48,Medical,Tamil Nadu,South
4.0,IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,73.3,Medical,Puducherry,South
5.0,IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,70.09,Medical,Uttar Pradesh,North
6.0,IR-D-U-0500,Banaras Hindu University,70.05,Medical,Uttar Pradesh,North
7.0,IR-D-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",69.77,Medical,Karnataka,South
8.0,IR-D-U-0523,King George`s Medical University,68.77,Medical,Uttar Pradesh,North
9.0,IR-D-U-0436,Amrita Vishwa Vidyapeetham,68.52,Medical,Tamil Nadu,South
10.0,IR-D-C-7242,"Kasturba Medical College, Manipal",68.05,Medical,Karnataka,South
1.0,IR-O-U-0456,Indian Institute of Technology Madras,87.31,Overall,Tamil Nadu,South
2.0,IR-O-U-0220,Indian Institute of Science,85.0,Overall,Karnataka,South
3.0,IR-O-U-0306,Indian Institute of Technology Bombay,81.62,Overall,Maharashtra,West
4.0,IR-O-I-1074,Indian Institute of Technology Delhi,80.67,Overall,Delhi,North
5.0,IR-O-I-1075,Indian Institute of Technology Kanpur,77.25,Overall,Uttar Pradesh,North
6.0,IR-O-U-0573,Indian Institute of Technology Kharagpur,73.99,Overall,West Bengal,East
7.0,IR-O-U-0560,Indian Institute of Technology Roorkee,71.73,Overall,Uttarakhand,North
8.0,IR-O-N-15,"All India Institute of Medical Sciences, Delhi",70.57,Overall,Delhi,North
9.0,IR-O-U-0109,Jawaharlal Nehru University,69.62,Overall,Delhi,North
10.0,IR-O-U-0500,Banaras Hindu University,68.71,Overall,Uttar Pradesh,North
1.0,IR-P-U-0107,Jamia Hamdard,86.59,Pharmacy,Delhi,North
2.0,IR-P-U-0391,Birla Institute of Technology & Science -Pilani,82.28,Pharmacy,Rajasthan,North
3.0,IR-P-U-0078,Panjab University,76.39,Pharmacy,Chandigarh,North
4.0,IR-P-C-35006,JSS College of Pharmacy,76.14,Pharmacy,Karnataka,South
5.0,IR-P-I-1077,National Institute of Pharmaceutical Education and Research Hyderabad,75.64,Pharmacy,Telangana,South
6.0,IR-P-U-0308,Institute of Chemical Technology,74.77,Pharmacy,Maharashtra,West
7.0,IR-P-C-35007,JSS College of Pharmacy,73.38,Pharmacy,Karnataka,South
8.0,IR-P-C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",73.25,Pharmacy,Karnataka,South
9.0,IR-P-U-0380,"National Institute of Pharmaceutical Education and Research, Mohali",70.96,Pharmacy,Punjab,North
10.0,IR-P-U-0473,S.R.M. Institute of Science and Technology,70.84,Pharmacy,Tamil Nadu,South
1.0,IR-R-U-0220,Indian Institute of Science,85.01,Research,Karnataka,South
2.0,IR-R-U-0456,Indian Institute of Technology Madras,82.99,Research,Tamil Nadu,South
3.0,IR-R-I-1074,Indian Institute of Technology Delhi,80.42,Research,Delhi,North
4.0,IR-R-U-0306,Indian Institute of Technology Bombay,77.8,Research,Maharashtra,West
5.0,IR-R-U-0573,Indian Institute of Technology Kharagpur,71.61,Research,West Bengal,East
6.0,IR-R-I-1075,Indian Institute of Technology Kanpur,69.8,Research,Uttar Pradesh,North
7.0,IR-R-U-0304,Homi Bhabha National Institute,69.39,Research,Maharashtra,West
8.0,IR-R-U-0560,Indian Institute of Technology Roorkee,67.27,Research,Uttarakhand,North
9.0,IR-R-U-0713,Academy of Scientific and Innovative Research,67.15,Research,Uttar Pradesh,North
10.0,IR-R-U-0053,Indian Institute of Technology Guwahati,64.18,Research,Assam,North East
1.0,IR-O-U-0575,Jadavpur University,76.08,State Public University,West Bengal,East
2.0,IR-O-U-0439,Anna University,76.06,State Public University,Tamil Nadu,South
3.0,IR-O-U-0078,Panjab University,69.92,State Public University,Chandigarh,North
4.0,IR-O-U-0006,"Andhra University, Visakhapatnam",68.91,State Public University,Andhra Pradesh,South
5.0,IR-O-U-0260,Kerala University,67.93,State Public University,Kerala,South
6.0,IR-O-U-0253,Cochin University of Science and Technology,66.24,State Public University,Kerala,South
7.0,IR-O-U-0027,Osmania University,65.64,State Public University,Telangana,South
8.0,IR-O-U-0196,University of Kashmir,65.17,State Public University,Jammu and Kashmir,North
9.0,IR-O-U-0052,Gauhati University,64.24,State Public University,Assam,North East
10.0,IR-O-U-0447,Bharathiar University,64.09,State Public University,Tamil Nadu,South
1.0,IR-O-U-0220,Indian Institute of Science,85.05,University,Karnataka,South
2.0,IR-O-U-0109,Jawaharlal Nehru University,71.0,University,Delhi,North
3.0,IR-O-U-0234,Manipal Academy of Higher Education-Manipal,69.25,University,Karnataka,South
4.0,IR-O-U-0108,Jamia Millia Islamia,69.1,University,Delhi,North
5.0,IR-O-U-0120,University of Delhi,67.38,University,Delhi,North
6.0,IR-O-U-0500,Banaras Hindu University,67.28,University,Uttar Pradesh,North
7.0,IR-O-U-0391,Birla Institute of Technology & Science -Pilani,67.24,University,Rajasthan,North
8.0,IR-O-U-0436,Amrita Vishwa Vidyapeetham,67.05,University,Tamil Nadu,South
9.0,IR-O-U-0575,Jadavpur University,65.42,University,West Bengal,East
10.0,IR-O-U-0496,Aligarh Muslim University,65.35,University,Uttar Pradesh,North
